user,EER,EER_threshold
1,0.5,0.09
2,0.5,0.1900900900900901
3,0.5,0.13011011011011012
4,0.5,0.1100900900900901
5,0.5052083333333333,0.14
6,0.5,0.12001001001001002
7,0.5,0.07002002002002003
8,0.5,0.08008008008008008
19,0.5,0.14
21,0.5,0.09002002002002002
22,0.5,0.06005005005005005
26,0.5,0.01
27,0.4955357142857143,0.14
28,0.5,0.02
29,0.5,0.05009009009009009
35,0.5,0.10009009009009008
36,0.5,0.060040040040040044
37,0.5,0.10007007007007006
38,0.5,0.19007007007007007
39,0.5,0.02001001001001001
40,0.5,0.050010010010010014
41,0.5,0.11010010010010009
42,0.5,0.13002002002002003
43,0.5,0.040010010010010005
44,0.5,0.02001001001001001
45,0.5,0.07003003003003003
46,0.5,0.11006006006006006
48,0.5,0.09009009009009009
49,0.5,0.0
