user,EER,EER_threshold
1,0.5520833333333333,0.033070070070070075
2,0.34880808622925896,0.013052052052052052
3,0.5559895833333333,0.010029029029029028
4,0.6372512896094326,0.032020020020020024
5,0.6651632302405498,0.01505005005005005
6,0.6458064516129032,0.014018018018018014
7,0.5729032258064517,0.015026026026026026
8,0.31461790137882684,0.023081081081081086
19,0.4731924680178238,0.0070480480480480485
21,0.44967741935483874,0.022029029029029028
22,0.6121212121212121,0.004003003003003002
26,0.6217783505154639,0.021
27,0.3560996563573883,0.05001901901901902
28,0.47143470790378006,0.01712012012012012
29,0.6381013745704467,0.024053053053053056
35,0.5829037800687286,0.02204204204204204
36,0.4340635738831615,0.009048048048048048
37,0.5618489583333333,0.012081081081081083
38,0.4082729609721898,0.005008008008008008
39,0.5472273515751777,0.004006006006006006
40,0.6600085910652921,0.3983833833833834
41,0.5453178694158076,0.01004904904904905
42,0.3322594501718213,0.03404504504504505
43,0.4765893470790378,0.055024024024024024
44,0.8801546391752577,0.007
45,0.3805841924398625,0.01600900900900901
46,0.604810996563574,0.009012012012012013
48,0.3470790378006873,0.02701401401401401
49,0.4280498281786942,0.045144144144144145
