sensor,timestamp,x,y,z
10,1397460881288.0,-0.7434485,0.25437486,0.23094177
10,1397468389101.0,-1.184552,0.12572193,-0.12608433
10,1397526823372.0,-1.8060718,-0.056919664,0.051205635
10,1397542089934.0,-1.8060718,-0.056919664,0.051205635
10,1397552089934.0,-1.8060718,-0.056919664,0.051205635
10,1397561014882.0,-1.0425088,0.24955916,-0.036240578
10,1397571014882.0,-1.8060718,-0.056919664,0.051205635
10,1397579229309.0,-1.8060718,-0.056919664,0.051205635
10,1397595298945.0,-1.0425088,0.24955916,-0.036240578
10,1397603920299.0,-1.0425088,0.24955916,-0.036240578
10,1397611053684.0,-1.0425088,0.24955916,-0.036240578
10,1397640646549.0,-0.55520785,0.054058194,0.020856857
10,1397660829413.0,-0.55520785,0.054058194,0.020856857
10,1397668929361.0,-1.2958959,0.12933642,0.1036644
10,1397684291861.0,-1.2498409,0.12277871,0.11288166
10,1397693316809.0,-1.2301897,0.110277474,0.11739731
10,1397703316809.0,-0.7376596,0.28727943,0.011554718
10,1397713316809.0,-0.7376596,0.28727943,0.011554718
10,1397726451132.0,-0.7376596,0.28727943,0.011554718
10,1397735903788.0,-0.57688904,0.28276986,0.013656616
10,1397751096809.0,-0.5584614,0.27626407,0.01794529
10,1397761096809.0,-0.5330069,0.2166509,0.04462719
10,1397771096809.0,-0.5330069,0.2166509,0.04462719
10,1397780956549.0,-0.5330069,0.2166509,0.04462719
10,1397798772799.0,-0.5010586,0.20118028,0.05263233
10,1397815789830.0,-0.14847398,0.23844278,0.07580948
10,1397824531340.0,-0.41772032,0.40780228,0.13885021
10,1397834531340.0,-0.35281825,0.1830234,0.2732191
10,1397844531340.0,-0.35281825,0.1830234,0.2732191
10,1397857638580.0,-0.35281825,0.1830234,0.2732191
10,1397867162017.0,-0.32022285,0.15810806,0.3084259
10,1397877162017.0,-0.45755577,0.20755428,0.31951427
10,1397889194049.0,-0.45755577,0.20755428,0.31951427
10,1397899194049.0,-0.07419634,-0.024140477,0.31867504
10,1397909194049.0,-0.07419634,-0.024140477,0.31867504
10,1397917845715.0,-0.07419634,-0.024140477,0.31867504
10,1397929894309.0,-0.22529435,0.0297755,0.3065977
10,1397939894309.0,-0.16931224,0.006883681,0.321702
10,1397949894309.0,-0.16931224,0.006883681,0.321702
10,1397959894309.0,-0.16931224,0.006883681,0.321702
10,1397964913215.0,-0.16931224,0.006883681,0.321702
10,1397984913215.0,-0.35381603,0.24190098,0.10185528
10,1397998209413.0,-0.35381603,0.24190098,0.10185528
10,1398027056132.0,-0.11893773,0.054824352,0.18243885
10,1398036334257.0,-0.11893773,0.054824352,0.18243885
10,1398047858580.0,-0.11277723,0.05282849,0.18415451
10,1398057858580.0,-0.35845232,0.18194121,0.057418823
10,1398070982799.0,-0.35845232,0.18194121,0.057418823
10,1398086006340.0,-0.24239397,0.13888645,-0.007786751
10,1398096006340.0,-0.26733804,0.08823913,-0.053333282
10,1398105495455.0,-0.26733804,0.08823913,-0.053333282
10,1398121432486.0,-0.17330503,0.14314508,0.057814598
10,1398141432486.0,-0.16320229,0.13773954,0.060918808
10,1398173178684.0,-0.22166443,0.032310247,0.21829891
10,1398179830559.0,-0.35813403,0.09695369,0.22308731
10,1398190076861.0,-0.34894514,0.10857159,0.26469517
10,1398200660246.0,-0.29608107,0.13087219,0.1784172
10,1398215828736.0,-0.11777425,0.069211304,0.1754179
10,1398242300038.0,-0.40259767,0.16711992,0.1530838
10,1398282627746.0,-0.25127125,0.044875264,0.2649641
10,1398296354309.0,-0.27494,0.06075406,0.25728798
10,1398304937955.0,-0.28855085,0.070100665,0.25289726
10,1398311398632.0,0.15198469,-0.0543983,0.25289726
10,1398321789830.0,0.28333592,0.016582608,0.21458817
10,1398331484517.0,0.099933624,0.23997337,0.12231064
10,1398341615194.0,-0.07344723,0.26668084,0.115119934
10,1398354759882.0,-0.08964753,0.26783013,0.1171999
10,1398371429726.0,-0.1098814,0.21437317,0.079670906
10,1398381136601.0,-0.06403327,0.050433397,0.17235374
10,1398395541913.0,-0.17320824,0.07690418,0.22195148
10,1398410411809.0,-0.16775274,0.07098943,0.22393322
10,1398424787746.0,-0.2723348,0.1599778,0.2594967
10,1398438783580.0,-0.09553003,0.09163815,0.08867741
10,1398447242121.0,-0.019015789,0.11195058,0.1016922
10,1398459045767.0,0.18876529,0.014020503,0.2948017
10,1398470260194.0,0.15774727,0.01775223,0.28633785
10,1398479251600.0,0.28004694,0.0071719885,0.3929243
10,1398489226705.0,-0.043122053,0.04354155,0.49975204
10,1398496935350.0,-0.10381198,0.06805533,0.5234299
10,1398507333059.0,-0.103993654,0.10720217,0.56640625
10,1398521278528.0,-0.10292673,0.111201346,0.56633186
10,1398529607694.0,-0.047076464,0.06525886,0.6715021
10,1398539350090.0,-0.24758887,0.046165824,0.6210213
10,1398552229361.0,-0.17513943,-0.050596237,0.55785847
10,1398559120507.0,0.04088378,-0.07943404,0.41955853
10,1398568976184.0,-0.57849765,0.13224995,0.29823208
10,1398578891080.0,-0.5318985,0.15213001,0.20354462
10,1398591991861.0,0.37109208,0.13819283,0.07274628
10,1398599384725.0,0.20256996,0.071899295,0.042262077
10,1398608666809.0,-0.3854785,0.0037233233,0.13212013
