x_a,y_a,z_a,x_g,y_g,z_g
0.18397665,0.7553996,-0.38151264,-0.42077947,-0.06178534,-0.18935075
0.21431327,0.27697468,-0.19833851,-0.45247108,-0.066046394,-0.2050634
0.21431327,0.27697468,-0.19833851,-0.42770368,-0.072970614,-0.21225394
0.21431327,0.27697468,-0.19833851,-0.4098605,-0.1025317,-0.21837921
-0.03489542,-0.018842518,-0.2241478,-0.40906155,-0.12996227,-0.20586236
-0.03489542,-0.018842518,-0.2241478,-0.39388153,-0.16644756,-0.14354439
-0.7282355,-0.38531464,-0.34120464,-0.40533313,-0.20719394,-0.07163903
-0.7282355,-0.38531464,-0.34120464,-0.42530683,-0.22956449,-0.026365295
-0.7282355,-0.38531464,-0.34120464,-0.47803742,-0.31824777,0.15073492
-0.7641437,-0.57940054,-0.37575912,-0.4543353,-0.35659727,0.221575
-0.8269594,-0.9742676,-0.086997986,-0.38429415,-0.391751,0.29161614
-0.8269594,-0.9742676,-0.086997986,-0.33662358,-0.40719733,0.32943302
-0.8269594,-0.9742676,-0.086997986,-0.29188246,-0.41864893,0.36565202
-0.799371,-1.148716,-0.22161388,-0.25672874,-0.42876893,0.4034689
-0.799371,-1.148716,-0.22161388,-0.24474451,-0.4282363,0.5219796
-0.799371,-1.148716,-0.22161388,-0.257794,-0.41731736,0.55606806
-0.799371,-1.148716,-0.22161388,-0.272974,-0.40533313,0.58722705
-0.799371,-1.148716,-0.22161388,-0.29640985,-0.3901531,0.64341974
-0.799371,-1.148716,-0.22161388,-0.3073288,-0.39121836,0.6695187
-0.5856266,-0.95136297,0.45080376,-0.3222425,-0.39947417,0.71825457
-0.5856266,-0.95136297,0.45080376,-0.31851408,-0.40053943,0.77125144
-0.5856266,-0.95136297,0.45080376,-0.30999196,-0.38908786,0.8135957
-0.5856266,-0.95136297,0.45080376,-0.2793656,-0.3635215,0.8346347
-0.5856266,-0.95136297,0.45080376,-0.25166872,-0.34993938,0.84555364
-0.03500247,-0.8603476,0.72154236,-0.19680761,-0.33156356,0.87325054
-0.03500247,-0.8603476,0.72154236,-0.18881813,-0.32597092,0.88976216
-0.03500247,-0.8603476,0.72154236,-0.19014971,-0.3206446,0.9054748
-0.03500247,-0.8603476,0.72154236,-0.20080236,-0.31372038,0.917459
0.13267803,-0.91255707,0.6135864,-0.24101609,-0.29800773,0.932639
0.09100747,-0.869009,0.6059952,-0.21491711,-0.25566345,0.9464875
0.049375772,-0.8321991,0.59852695,-0.2050634,-0.24021713,0.9462212
0.049375772,-0.8321991,0.59852695,-0.20399815,-0.22503711,0.94302535
0.6450627,-0.0041531026,0.9587679,-0.21385184,-0.19707392,0.92518216
0.6450627,-0.0041531026,0.9587679,-0.2591256,-0.16138756,0.90680635
0.7515472,0.21258408,0.97974586,-0.2972088,-0.11531488,0.88124
0.7515472,0.21258408,0.97974586,-0.2972088,-0.11531488,0.88124
0.98232657,-0.05629927,0.7824993,-0.2958772,-0.096939065,0.85594
0.98232657,-0.05629927,0.7824993,-0.28229508,-0.079095885,0.8229168
0.98232657,-0.05629927,0.7824993,-0.25566345,-0.05752428,0.79415464
0.98232657,-0.05629927,0.7824993,-0.21065605,-0.034621093,0.763262
0.68771327,-0.48825943,0.7984829,-0.06844324,-0.009321064,0.6876282
0.68771327,-0.48825943,0.7984829,0.08628642,-0.0127831735,0.59228706
0.6292449,-0.38948828,0.7913027,0.1587244,-0.015978966,0.54142064
0.56811976,0.010659188,0.7043257,0.21997711,-0.011984225,0.4956143
0.56811976,0.010659188,0.7043257,0.23489082,0.034088463,0.37950045
0.06395042,1.1801537,0.44177055,0.19041602,0.046871636,0.3520699
0.06395042,1.1801537,0.44177055,0.03435478,0.05273059,0.32170987
0.06395042,1.1801537,0.44177055,-0.14620754,0.027963191,0.32037827
0.06879604,0.7817661,0.48869705,-0.21065605,0.013582122,0.31372038
0.06879604,0.7817661,0.48869705,-0.24714136,0.0013315806,0.30146983
0.23274565,-0.06379047,0.6124916,-0.25965822,-0.0061252704,0.28682247
0.23274565,-0.06379047,0.6124916,-0.22503711,0.0015978967,0.24021713
