gen_user,EER
1,0.505859375
2,0.4884610224070844
3,0.4375
4,0.42382092851879144
5,0.5835481099656357
6,0.5283870967741935
7,0.52
8,0.5975111007244682
19,0.6369364189545302
21,0.43999999999999995
22,0.46645021645021645
26,0.5408075601374571
27,0.7085481099656357
28,0.4585481099656358
29,0.4585481099656358
35,0.49420103092783507
36,0.5414518900343643
37,0.39973958333333337
38,0.6815260574900678
39,0.47465167030384425
40,0.6320876288659794
41,0.5414518900343643
42,0.5369415807560138
43,0.41774054982817865
44,0.4585481099656358
45,0.42160652920962194
46,0.42482817869415807
48,0.6670962199312716
49,0.8380584192439863
