gen_user,test_user,window_idx,anomaly_percentage
1,1,0,0.3563
1,1,1,0.23545
1,1,2,0.30283
1,1,3,0.24307
1,1,4,0.1952
1,1,5,0.47428
1,1,6,0.62787
1,1,7,0.51052
1,1,8,0.51042
1,1,9,0.5188
1,1,10,0.17039
1,1,11,0.49712
1,1,12,0.21112
1,1,13,0.46959
1,1,14,0.49359
1,1,15,0.524
1,1,16,0.40856
1,1,17,0.5149
1,1,18,0.49434
1,1,19,0.46168
1,1,20,0.49349
1,1,21,0.41226
1,1,22,0.44933
1,1,23,0.47785
1,1,24,0.34163
1,1,25,0.37095
1,1,26,0.45999
1,1,27,0.41309
1,1,28,0.49476
1,1,29,0.43383
1,1,30,0.49493
1,1,31,0.17826
1,2,0,0.19412
1,2,1,0.52224
1,2,2,0.32677
1,2,3,0.34903
1,2,4,0.43576
1,2,5,0.49975
1,2,6,0.35465
1,2,7,0.46892
1,2,8,0.42757
1,2,9,0.30797
1,2,10,0.43454
1,2,11,0.37661
1,2,12,0.42821
1,2,13,0.30631
1,2,14,0.49395
1,2,15,0.53478
1,2,16,0.40735
1,2,17,0.32268
1,2,18,0.28849
1,2,19,0.18498
1,2,20,0.51998
1,2,21,0.22305
1,2,22,0.33651
1,2,23,0.38556
1,2,24,0.25202
1,2,25,0.49759
1,2,26,0.49605
1,2,27,0.43617
1,2,28,0.16616
1,3,0,0.36603
1,3,1,0.44714
1,3,2,0.48479
1,3,3,0.54776
1,3,4,0.51075
1,3,5,0.36064
1,3,6,0.49361
1,3,7,0.37
1,3,8,0.45051
1,3,9,0.22153
1,3,10,0.51126
1,3,11,0.52808
1,3,12,0.31545
1,3,13,0.48879
1,3,14,0.51252
1,3,15,0.49307
1,3,16,0.38231
1,3,17,0.53107
1,3,18,0.30748
1,3,19,0.51963
1,3,20,0.46189
1,3,21,0.55496
1,3,22,0.47805
1,3,23,0.52864
1,3,24,0.53656
1,3,25,0.48868
1,3,26,0.49552
1,3,27,0.6657
1,3,28,0.54739
1,3,29,0.37634
1,3,30,0.18491
1,3,31,0.48326
1,4,0,0.50415
1,4,1,0.38344
1,4,2,0.24762
