gen_user,EER
1,0.5520833333333333
2,0.34880808622925896
3,0.5559895833333333
4,0.6372512896094326
5,0.6651632302405499
6,0.6458064516129032
7,0.5729032258064517
8,0.31461790137882684
19,0.4731924680178238
21,0.4496774193548387
22,0.6121212121212121
26,0.6217783505154639
27,0.35609965635738833
28,0.47143470790378006
29,0.6381013745704468
35,0.5829037800687284
36,0.4340635738831615
37,0.5618489583333333
38,0.40827296097218974
39,0.5472273515751777
40,0.6600085910652922
41,0.5453178694158076
42,0.33225945017182135
43,0.47658934707903783
44,0.8801546391752577
45,0.3805841924398625
46,0.6048109965635738
48,0.3470790378006873
49,0.42804982817869414
