gen_user,EER
1,0.5
2,0.5
3,0.5
4,0.5
5,0.5052083333333333
6,0.5
7,0.5
8,0.5
19,0.5
21,0.5
22,0.5
26,0.5
27,0.49553571428571425
28,0.5
29,0.5
35,0.5
36,0.5
37,0.5
38,0.5
39,0.5
40,0.5
41,0.5
42,0.5
43,0.5
44,0.5
45,0.5
46,0.5
48,0.5
49,0.5
