user,EER,EER_threshold
1,0.5,0.09
2,0.5,0.19000900090009
3,0.5,0.13000100010001
4,0.5,0.11000900090009001
5,0.5052083333333333,0.14
6,0.5,0.12000000000000001
7,0.5,0.07000200020002001
8,0.5,0.08001100110011
19,0.5,0.14
21,0.5,0.09000200020002
22,0.5,0.06000500050005001
26,0.5,0.01
27,0.4955357142857143,0.14
28,0.5,0.02
29,0.5,0.05000900090009001
35,0.5,0.10000900090009
36,0.5,0.06000400040004
37,0.5,0.10001100110011
38,0.5,0.19000700070007
39,0.5,0.02000100010001
40,0.5,0.050001000100010004
41,0.5,0.11001000100010001
42,0.5,0.13000200020002
43,0.5,0.04000100010001
44,0.5,0.020001000100009998
45,0.5,0.07000300030003
46,0.5,0.11000500050005001
48,0.5,0.09000900090009001
49,0.5,0.0
